seasonality,round,champion_saturation
51527.642472189,3,0.30000000000000004
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.30000000000000004
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.4
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
51527.642472189,3,0.0
